X,Y,Z,stress
5.00E-05,0.00015,0.0007,610.2625849
5.00E-05,0.00015,0.00075,631.7860608
5.00E-05,0.00015,0.0008,614.1060264
5.00E-05,0.00015,0.00085,598.314928
5.00E-05,0.00015,0.0009,587.4595861
5.00E-05,0.00015,0.00095,589.5702171
5.00E-05,0.0002,5.00E-05,460.3308792
5.00E-05,0.0002,0.0001,412.159576
5.00E-05,0.0002,0.00015,422.9368353
5.00E-05,0.0002,0.0002,445.6787656
5.00E-05,0.0002,0.00025,486.2642853
5.00E-05,0.0002,0.0003,480.5866625
5.00E-05,0.0002,0.00035,471.1182082
5.00E-05,0.0002,0.0004,459.9021492
5.00E-05,0.0002,0.00045,463.3332947
5.00E-05,0.0002,0.0005,486.4809305
5.00E-05,0.0002,0.00055,495.1032961
5.00E-05,0.0002,0.0006,503.7256617
5.00E-05,0.0002,0.00065,544.4438562
5.00E-05,0.0002,0.0007,587.2872534
5.00E-05,0.0002,0.00075,572.9918478
5.00E-05,0.0002,0.0008,562.3827136
5.00E-05,0.0002,0.00085,561.3510354
5.00E-05,0.0002,0.0009,545.9446394
5.00E-05,0.0002,0.00095,545.6930317
5.00E-05,0.00025,5.00E-05,451.4402123
5.00E-05,0.00025,0.0001,401.7249702
5.00E-05,0.00025,0.00015,413.2912481
5.00E-05,0.00025,0.0002,469.9627054
5.00E-05,0.00025,0.00025,512.129356
5.00E-05,0.00025,0.0003,474.3693515
5.00E-05,0.00025,0.00035,467.7751847
5.00E-05,0.00025,0.0004,462.0975618
5.00E-05,0.00025,0.00045,452.2838266
5.00E-05,0.00025,0.0005,441.0677677
5.00E-05,0.00025,0.00055,438.664743
5.00E-05,0.00025,0.0006,479.3586318
5.00E-05,0.00025,0.00065,532.4006146
5.00E-05,0.00025,0.0007,534.9155956
5.00E-05,0.00025,0.00075,516.1901487
5.00E-05,0.00025,0.0008,509.800839
5.00E-05,0.00025,0.00085,511.4761838
5.00E-05,0.00025,0.0009,508.5960444
5.00E-05,0.00025,0.00095,501.6409276
5.00E-05,0.0003,5.00E-05,390.0544732
5.00E-05,0.0003,0.0001,386.1685217
5.00E-05,0.0003,0.00015,385.5084911
5.00E-05,0.0003,0.0002,491.6604451
5.00E-05,0.0003,0.00025,532.9956474
5.00E-05,0.0003,0.0003,539.8577159
5.00E-05,0.0003,0.00035,521.4875674
5.00E-05,0.0003,0.0004,503.1174189
5.00E-05,0.0003,0.00045,479.7449118
5.00E-05,0.0003,0.0005,443.6084611
5.00E-05,0.0003,0.00055,434.3040613
5.00E-05,0.0003,0.0006,467.7558451
5.00E-05,0.0003,0.00065,490.4167882
5.00E-05,0.0003,0.0007,477.231097
5.00E-05,0.0003,0.00075,459.3884495
5.00E-05,0.0003,0.0008,457.2189644
5.00E-05,0.0003,0.00085,458.8943092
5.00E-05,0.0003,0.0009,458.3608229
5.00E-05,0.0003,0.00095,447.6902939
5.00E-05,0.00035,5.00E-05,494.2737838
5.00E-05,0.00035,0.0001,432.446506
5.00E-05,0.00035,0.00015,458.215968
5.00E-05,0.00035,0.0002,459.9697025
5.00E-05,0.00035,0.00025,492.0711072
5.00E-05,0.00035,0.0003,503.3636078
5.00E-05,0.00035,0.00035,488.6871304
5.00E-05,0.00035,0.0004,470.3169819
5.00E-05,0.00035,0.00045,451.9468333
5.00E-05,0.00035,0.0005,433.5766848
5.00E-05,0.00035,0.00055,415.9372245
5.00E-05,0.00035,0.0006,433.1795414
5.00E-05,0.00035,0.00065,432.8291777
5.00E-05,0.00035,0.0007,418.2830519
5.00E-05,0.00035,0.00075,402.961745
5.00E-05,0.00035,0.0008,404.018057
5.00E-05,0.00035,0.00085,403.1555329
5.00E-05,0.00035,0.0009,402.2930087
5.00E-05,0.00035,0.00095,393.7396602
5.00E-05,0.0004,5.00E-05,532.7739039
5.00E-05,0.0004,0.0001,495.4264079
5.00E-05,0.0004,0.00015,455.335781
5.00E-05,0.0004,0.0002,429.5455829
5.00E-05,0.0004,0.00025,418.8873197
5.00E-05,0.0004,0.0003,424.8144572
5.00E-05,0.0004,0.00035,413.4911496
5.00E-05,0.0004,0.0004,402.167842
5.00E-05,0.0004,0.00045,390.8445344
5.00E-05,0.0004,0.0005,379.5212268
5.00E-05,0.0004,0.00055,368.953862
5.00E-05,0.0004,0.0006,375.7442071
5.00E-05,0.0004,0.00065,368.5653169
5.00E-05,0.0004,0.0007,345.3467067
5.00E-05,0.0004,0.00075,340.2421889
5.00E-05,0.0004,0.0008,331.5181677
5.00E-05,0.0004,0.00085,330.7636371
5.00E-05,0.0004,0.0009,330.0091066
5.00E-05,0.0004,0.00095,340.7754334
5.00E-05,0.00045,5.00E-05,547.0936895
5.00E-05,0.00045,0.0001,517.8185773
5.00E-05,0.00045,0.00015,482.8733342
5.00E-05,0.00045,0.0002,440.3824081
5.00E-05,0.00045,0.00025,417.5967112
5.00E-05,0.00045,0.0003,402.2584072
5.00E-05,0.00045,0.00035,350.8625779
5.00E-05,0.00045,0.0004,333.2607855
5.00E-05,0.00045,0.00045,318.888028
5.00E-05,0.00045,0.0005,304.5152705
5.00E-05,0.00045,0.00055,291.7284903
5.00E-05,0.00045,0.0006,299.3577
5.00E-05,0.00045,0.00065,268.0961838
5.00E-05,0.00045,0.0007,246.7006898
5.00E-05,0.00045,0.00075,260.7156885
5.00E-05,0.00045,0.0008,251.4468019
5.00E-05,0.00045,0.00085,239.4326889
5.00E-05,0.00045,0.0009,309.290276
5.00E-05,0.00045,0.00095,367.0003267
5.00E-05,0.0005,5.00E-05,447.2705617
5.00E-05,0.0005,0.0001,439.9564055
5.00E-05,0.0005,0.00015,462.9245831
5.00E-05,0.0005,0.0002,474.8199401
5.00E-05,0.0005,0.00025,432.329014
5.00E-05,0.0005,0.0003,421.2620879
5.00E-05,0.0005,0.00035,390.7049472
5.00E-05,0.0005,0.0004,339.3091179
5.00E-05,0.0005,0.00045,287.9132886
5.00E-05,0.0005,0.0005,252.685765
5.00E-05,0.0005,0.00055,255.0215855
5.00E-05,0.0005,0.0006,272.6101258
5.00E-05,0.0005,0.00065,366.1075279
5.00E-05,0.0005,0.0007,398.1318958
5.00E-05,0.0005,0.00075,219.588132
5.00E-05,0.0005,0.0008,174.665528
5.00E-05,0.0005,0.00085,162.651415
5.00E-05,0.0005,0.0009,288.7709543
5.00E-05,0.0005,0.00095,363.6641659
5.00E-05,0.00055,5.00E-05,348.9819509
5.00E-05,0.00055,0.0001,371.9501285
5.00E-05,0.00055,0.00015,394.9183061
5.00E-05,0.00055,0.0002,417.8864838
5.00E-05,0.00055,0.00025,440.8546614
5.00E-05,0.00055,0.0003,435.6984624
5.00E-05,0.00055,0.00035,424.9274645
5.00E-05,0.00055,0.0004,378.9707403
5.00E-05,0.00055,0.00045,308.3818176
5.00E-05,0.00055,0.0005,237.7928949
5.00E-05,0.00055,0.00055,211.8253744
5.00E-05,0.00055,0.0006,261.1416928
5.00E-05,0.00055,0.00065,358.7910281
5.00E-05,0.00055,0.0007,393.4718499
5.00E-05,0.00055,0.00075,441.7342858
5.00E-05,0.00055,0.0008,356.1208465
5.00E-05,0.00055,0.00085,166.3157505
5.00E-05,0.00055,0.0009,270.3395544
5.00E-05,0.00055,0.00095,479.8651405
5.00E-05,0.0006,5.00E-05,309.9059962
5.00E-05,0.0006,0.0001,339.6697526
5.00E-05,0.0006,0.00015,369.433509
5.00E-05,0.0006,0.0002,399.1972654
5.00E-05,0.0006,0.00025,428.9610218
5.00E-05,0.0006,0.0003,486.7756646
5.00E-05,0.0006,0.00035,381.8947922
5.00E-05,0.0006,0.0004,344.5381333
5.00E-05,0.0006,0.00045,280.174472
5.00E-05,0.0006,0.0005,215.8108108
5.00E-05,0.0006,0.00055,167.6353836
5.00E-05,0.0006,0.0006,245.9547437
5.00E-05,0.0006,0.00065,350.2191004
5.00E-05,0.0006,0.0007,411.1756226
5.00E-05,0.0006,0.00075,471.0115708
5.00E-05,0.0006,0.0008,372.8118935
5.00E-05,0.0006,0.00085,319.3789339
5.00E-05,0.0006,0.0009,405.3076651
5.00E-05,0.0006,0.00095,644.4436443
5.00E-05,0.00065,5.00E-05,268.866273
5.00E-05,0.00065,0.0001,289.8175632
5.00E-05,0.00065,0.00015,384.7735844
5.00E-05,0.00065,0.0002,414.5373408
5.00E-05,0.00065,0.00025,523.3496219
5.00E-05,0.00065,0.0003,597.1730963
5.00E-05,0.00065,0.00035,411.1105722
5.00E-05,0.00065,0.0004,296.2531389
5.00E-05,0.00065,0.00045,231.8894776
5.00E-05,0.00065,0.0005,190.3532143
5.00E-05,0.00065,0.00055,209.0296296
5.00E-05,0.00065,0.0006,198.7260245
5.00E-05,0.00065,0.00065,247.8183144
5.00E-05,0.00065,0.0007,416.3434524
5.00E-05,0.00065,0.00075,506.9643404
5.00E-05,0.00065,0.0008,483.7891976
5.00E-05,0.00065,0.00085,574.4515336
5.00E-05,0.00065,0.0009,619.8478153
5.00E-05,0.00065,0.00095,604.0640715
5.00E-05,0.0007,5.00E-05,302.1089419
5.00E-05,0.0007,0.0001,164.1101312
5.00E-05,0.0007,0.00015,250.8175055
5.00E-05,0.0007,0.0002,433.9201883
5.00E-05,0.0007,0.00025,617.022871
5.00E-05,0.0007,0.0003,670.4015049
5.00E-05,0.0007,0.00035,496.903858
5.00E-05,0.0007,0.0004,407.5577095
5.00E-05,0.0007,0.00045,318.211561
5.00E-05,0.0007,0.0005,304.2643755
5.00E-05,0.0007,0.00055,335.4896956
5.00E-05,0.0007,0.0006,307.7462553
5.00E-05,0.0007,0.00065,291.8154306
5.00E-05,0.0007,0.0007,321.7338556
5.00E-05,0.0007,0.00075,486.0266089
5.00E-05,0.0007,0.0008,494.3851574
5.00E-05,0.0007,0.00085,514.8375396
5.00E-05,0.0007,0.0009,571.3956512
5.00E-05,0.0007,0.00095,561.9686098
5.00E-05,0.00075,5.00E-05,332.5767546
5.00E-05,0.00075,0.0001,254.3609263
5.00E-05,0.00075,0.00015,159.6427561
5.00E-05,0.00075,0.0002,410.0676973
5.00E-05,0.00075,0.00025,591.3291317
5.00E-05,0.00075,0.0003,622.9298814
5.00E-05,0.00075,0.00035,602.3253069
5.00E-05,0.00075,0.0004,580.5191578
5.00E-05,0.00075,0.00045,523.1327652
5.00E-05,0.00075,0.0005,455.2107193
5.00E-05,0.00075,0.00055,452.0872781
5.00E-05,0.00075,0.0006,424.3184149
5.00E-05,0.00075,0.00065,404.1064126
5.00E-05,0.00075,0.0007,396.7050863
5.00E-05,0.00075,0.00075,417.7379402
5.00E-05,0.00075,0.0008,479.0883643
5.00E-05,0.00075,0.00085,487.2301966
5.00E-05,0.00075,0.0009,509.5760212
5.00E-05,0.00075,0.00095,523.2786373
5.00E-05,0.0008,0.0001,373.380188
5.00E-05,0.0008,0.00015,300.1327506
5.00E-05,0.0008,0.0002,499.636563
5.00E-05,0.0008,0.00025,552.9937895
5.00E-05,0.0008,0.0003,608.6815359
5.00E-05,0.0008,0.00035,589.7440887
5.00E-05,0.0008,0.0004,567.9379396
5.00E-05,0.0008,0.00045,546.1317906
5.00E-05,0.0008,0.0005,514.331764
5.00E-05,0.0008,0.00055,510.8539227
5.00E-05,0.0008,0.0006,499.0935894
5.00E-05,0.0008,0.00065,492.1313609
5.00E-05,0.0008,0.0007,490.0897307
5.00E-05,0.0008,0.00075,486.0892769
5.00E-05,0.0008,0.0008,478.1959572
5.00E-05,0.0008,0.00085,492.8548336
5.00E-05,0.0008,0.0009,508.7259831
5.00E-05,0.0008,0.00095,543.6228512
5.00E-05,0.00085,0.0001,391.8807325
5.00E-05,0.00085,0.00015,409.690412
5.00E-05,0.00085,0.0002,465.6293237
5.00E-05,0.00085,0.00025,514.6584473
5.00E-05,0.00085,0.0003,578.3636063
5.00E-05,0.00085,0.00035,567.281239
5.00E-05,0.00085,0.0004,547.1554187
5.00E-05,0.00085,0.00045,507.2016341
5.00E-05,0.00085,0.0005,497.5947867
5.00E-05,0.00085,0.00055,507.8940688
5.00E-05,0.00085,0.0006,511.1524858
5.00E-05,0.00085,0.00065,508.450263
5.00E-05,0.00085,0.0007,505.0391467
5.00E-05,0.00085,0.00075,497.145827
5.00E-05,0.00085,0.0008,517.7504441
5.00E-05,0.00085,0.00085,544.997226
5.00E-05,0.00085,0.0009,561.8065134
5.00E-05,0.00085,0.00095,599.7034835
5.00E-05,0.0009,0.00015,442.4864621
5.00E-05,0.0009,0.0002,518.1738095
5.00E-05,0.0009,0.00025,521.4575576
5.00E-05,0.0009,0.0003,548.0456767
5.00E-05,0.0009,0.00035,539.090691
5.00E-05,0.0009,0.0004,523.4181851
5.00E-05,0.0009,0.00045,476.9540185
5.00E-05,0.0009,0.0005,480.8578093
5.00E-05,0.0009,0.00055,491.1570915
5.00E-05,0.0009,0.0006,495.8096124
5.00E-05,0.0009,0.00065,494.5679093
5.00E-05,0.0009,0.0007,516.5417339
5.00E-05,0.0009,0.00075,541.136674
5.00E-05,0.0009,0.0008,565.7316142
5.00E-05,0.0009,0.00085,589.0994395
5.00E-05,0.0009,0.0009,608.824648
5.00E-05,0.0009,0.00095,609.3049202
5.00E-05,0.00095,0.00025,572.8814476
5.00E-05,0.00095,0.0003,563.8702907
5.00E-05,0.00095,0.00035,554.8591337
5.00E-05,0.00095,0.0004,529.507772
5.00E-05,0.00095,0.00045,524.1852915
5.00E-05,0.00095,0.0005,465.5001716
5.00E-05,0.00095,0.00055,450.0325779
5.00E-05,0.00095,0.0006,468.5206023
5.00E-05,0.00095,0.00065,494.6752653
5.00E-05,0.00095,0.0007,526.0932196
5.00E-05,0.00095,0.00075,557.5111738
5.00E-05,0.00095,0.0008,587.227179
5.00E-05,0.00095,0.00085,597.2667795
5.00E-05,0.00095,0.0009,606.4871529
5.00E-05,0.00095,0.00095,635.3805887
0.0001,5.00E-05,5.00E-05,616.2582131
0.0001,5.00E-05,0.0001,579.1946449
0.0001,5.00E-05,0.00015,565.2747359
0.0001,5.00E-05,0.0002,550.3929356
0.0001,5.00E-05,0.00025,535.5111354
0.0001,5.00E-05,0.0003,520.6293352
0.0001,5.00E-05,0.00035,508.6542738
0.0001,5.00E-05,0.0004,539.7332171
0.0001,5.00E-05,0.00045,569.7585273
0.0001,5.00E-05,0.0005,609.768817
0.0001,5.00E-05,0.00055,653.604538
0.0001,5.00E-05,0.0006,676.7303144
0.0001,5.00E-05,0.00065,697.8233318
0.0001,5.00E-05,0.0007,702.2348875
0.0001,5.00E-05,0.00075,706.2577242
0.0001,5.00E-05,0.0008,676.2631487
0.0001,5.00E-05,0.00085,675.9690025
0.0001,5.00E-05,0.0009,678.9489914
0.0001,0.0001,5.00E-05,596.3744509
0.0001,0.0001,0.0001,446.0799113
0.0001,0.0001,0.00015,442.9620177
0.0001,0.0001,0.0002,454.5538617
0.0001,0.0001,0.00025,466.1457058
0.0001,0.0001,0.0003,473.1284228
0.0001,0.0001,0.00035,505.004366
0.0001,0.0001,0.0004,536.9119912
0.0001,0.0001,0.00045,572.3122175
0.0001,0.0001,0.0005,614.2364911
0.0001,0.0001,0.00055,659.8427034
0.0001,0.0001,0.0006,666.6004346
0.0001,0.0001,0.00065,680.5317152
0.0001,0.0001,0.0007,698.5939112
0.0001,0.0001,0.00075,665.1663583
0.0001,0.0001,0.0008,650.6105281
0.0001,0.0001,0.00085,628.4065365
0.0001,0.0001,0.0009,621.9448371
0.0001,0.0001,0.00095,622.8527007
0.0001,0.00015,5.00E-05,576.4906888
0.0001,0.00015,0.0001,432.5295901
0.0001,0.00015,0.00015,439.0909555
0.0001,0.00015,0.0002,449.1128925
0.0001,0.00015,0.00025,459.1348294
0.0001,0.00015,0.0003,465.942504
0.0001,0.00015,0.00035,497.8234545
0.0001,0.00015,0.0004,534.9626837
0.0001,0.00015,0.00045,575.3956336
0.0001,0.00015,0.0005,607.4819198
0.0001,0.00015,0.00055,648.6680414
0.0001,0.00015,0.0006,655.3476997
0.0001,0.00015,0.00065,647.4242415
0.0001,0.00015,0.0007,656.4175428
0.0001,0.00015,0.00075,631.646244
0.0001,0.00015,0.0008,606.2705983
0.0001,0.00015,0.00085,575.7955064
0.0001,0.00015,0.0009,568.3646506
0.0001,0.00015,0.00095,567.4209018
0.0001,0.0002,5.00E-05,566.9465434
0.0001,0.0002,0.0001,425.2082338
0.0001,0.0002,0.00015,429.8213503
0.0001,0.0002,0.0002,440.5986096
0.0001,0.0002,0.00025,451.3758689
0.0001,0.0002,0.0003,459.0237457
0.0001,0.0002,0.00035,495.2570697
0.0001,0.0002,0.0004,537.5048647
0.0001,0.0002,0.00045,577.0385773
0.0001,0.0002,0.0005,609.1545009
0.0001,0.0002,0.00055,640.4160167
0.0001,0.0002,0.0006,634.5023146
0.0001,0.0002,0.00065,626.8193284
0.0001,0.0002,0.0007,612.3565616
0.0001,0.0002,0.00075,583.7949534
0.0001,0.0002,0.0008,543.9155038
0.0001,0.0002,0.00085,520.102455
0.0001,0.0002,0.0009,515.3885745
0.0001,0.0002,0.00095,515.0787641
0.0001,0.00025,5.00E-05,456.5864139
0.0001,0.00025,0.0001,410.5035336
0.0001,0.00025,0.00015,422.5253344
0.0001,0.00025,0.0002,435.6483543
0.0001,0.00025,0.00025,440.6340722
0.0001,0.00025,0.0003,445.3936091
0.0001,0.00025,0.00035,475.7864832
0.0001,0.00025,0.0004,518.0467485
0.0001,0.00025,0.00045,549.521979
0.0001,0.00025,0.0005,565.1970235
0.0001,0.00025,0.00055,594.2021598
0.0001,0.00025,0.0006,569.1586647
0.0001,0.00025,0.00065,558.6139068
0.0001,0.00025,0.0007,545.6570093
0.0001,0.00025,0.00075,504.0746882
0.0001,0.00025,0.0008,478.5466221
0.0001,0.00025,0.00085,471.9327877
0.0001,0.00025,0.0009,467.0684357
0.0001,0.00025,0.00095,462.2040836
0.0001,0.0003,5.00E-05,416.6242714
0.0001,0.0003,0.0001,408.8099577
0.0001,0.0003,0.00015,409.7333944
0.0001,0.0003,0.0002,410.899211
0.0001,0.0003,0.00025,412.0650276
0.0001,0.0003,0.0003,416.8432958
0.0001,0.0003,0.00035,447.2303393
0.0001,0.0003,0.0004,485.7353355
0.0001,0.0003,0.00045,516.7394255
0.0001,0.0003,0.0005,524.833798
0.0001,0.0003,0.00055,536.7044611
0.0001,0.0003,0.0006,511.5083139
0.0001,0.0003,0.00065,499.9606722
0.0001,0.0003,0.0007,484.292228
0.0001,0.0003,0.00075,456.6764502
0.0001,0.0003,0.0008,441.3585078
0.0001,0.0003,0.00085,434.7441667
0.0001,0.0003,0.0009,431.5155553
0.0001,0.0003,0.00095,432.6690551
0.0001,0.00035,5.00E-05,420.7403023
0.0001,0.00035,0.0001,393.8476388
0.0001,0.00035,0.00015,390.9672703
0.0001,0.00035,0.0002,390.2854522
0.0001,0.00035,0.00025,389.8455883
0.0001,0.00035,0.0003,379.3416957
0.0001,0.00035,0.00035,397.4541113
0.0001,0.00035,0.0004,435.5176786
0.0001,0.00035,0.00045,448.8359563
0.0001,0.00035,0.0005,452.1854647
0.0001,0.00035,0.00055,458.6548476
0.0001,0.00035,0.0006,430.5634551
0.0001,0.00035,0.00065,419.0618422
0.0001,0.00035,0.0007,397.0689793
0.0001,0.00035,0.00075,385.4537634
0.0001,0.00035,0.0008,369.8665983
0.0001,0.00035,0.00085,381.7055575
0.0001,0.00035,0.0009,389.5278187
0.0001,0.00035,0.00095,396.4977993
0.0001,0.0004,5.00E-05,504.5693335
0.0001,0.0004,0.0001,403.883478
0.0001,0.0004,0.00015,374.0616104
0.0001,0.0004,0.0002,369.5892448
0.0001,0.0004,0.00025,358.426227
0.0001,0.0004,0.0003,347.2632092
0.0001,0.0004,0.00035,342.6844944
0.0001,0.0004,0.0004,357.6113909
0.0001,0.0004,0.00045,370.8241276
0.0001,0.0004,0.0005,372.2324315
0.0001,0.0004,0.00055,378.7235294
0.0001,0.0004,0.0006,349.5720124
0.0001,0.0004,0.00065,331.2311825
0.0001,0.0004,0.0007,288.7431374
0.0001,0.0004,0.00075,271.9447219
0.0001,0.0004,0.0008,267.9583054
0.0001,0.0004,0.00085,361.264129
0.0001,0.0004,0.0009,288.9423797
0.0001,0.0004,0.00095,311.633731
0.0001,0.00045,5.00E-05,513.6414134
0.0001,0.00045,0.0001,424.0666341
0.0001,0.00045,0.00015,348.9730976
0.0001,0.00045,0.0002,355.5625664
0.0001,0.00045,0.00025,328.5168026
0.0001,0.00045,0.0003,317.162939
0.0001,0.00045,0.00035,312.6126099
0.0001,0.00045,0.0004,302.071951
0.0001,0.00045,0.00045,292.4500345
0.0001,0.00045,0.0005,293.7962216
0.0001,0.00045,0.00055,301.4501612
0.0001,0.00045,0.0006,265.5464996
0.0001,0.00045,0.00065,224.3948348
0.0001,0.00045,0.0007,182.4730761
0.0001,0.00045,0.00075,158.4372841
0.0001,0.00045,0.0008,185.5122369
0.0001,0.00045,0.00085,199.699014
0.0001,0.00045,0.0009,506.2005781
0.0001,0.00045,0.00095,422.5610624
0.0001,0.0005,5.00E-05,490.2184845
0.0001,0.0005,0.0001,333.4606978
0.0001,0.0005,0.00015,363.4629298
0.0001,0.0005,0.0002,425.1412848
0.0001,0.0005,0.00025,381.4090023
0.0001,0.0005,0.0003,384.7218543
0.0001,0.0005,0.00035,380.6699667
0.0001,0.0005,0.0004,369.981783
0.0001,0.0005,0.00045,261.5373139
0.0001,0.0005,0.0005,242.917666
0.0001,0.0005,0.00055,250.398523
0.0001,0.0005,0.0006,306.5567608
0.0001,0.0005,0.00065,226.1820684
0.0001,0.0005,0.0007,147.9816786
0.0001,0.0005,0.00075,75.26863371
0.0001,0.0005,0.0008,103.0661685
0.0001,0.0005,0.00085,124.2983814
0.0001,0.0005,0.0009,607.7572112
0.0001,0.0005,0.00095,565.9126691
0.0001,0.00055,5.00E-05,392.3507751
0.0001,0.00055,0.0001,291.4950656
0.0001,0.00055,0.00015,395.14755
0.0001,0.00055,0.0002,456.8259051
0.0001,0.00055,0.00025,463.0480762
0.0001,0.00055,0.0003,482.8150581
0.0001,0.00055,0.00035,498.0128439
0.0001,0.00055,0.0004,487.2262236
0.0001,0.00055,0.00045,288.791131
0.0001,0.00055,0.0005,234.0294817
0.0001,0.00055,0.00055,296.9363449
0.0001,0.00055,0.0006,432.7028448
0.0001,0.00055,0.00065,385.323739
0.0001,0.00055,0.0007,348.4044118
0.0001,0.00055,0.00075,427.4784683
0.0001,0.00055,0.0008,361.267884
0.0001,0.00055,0.00085,269.7399038
0.0001,0.00055,0.0009,602.2952983
0.0001,0.00055,0.00095,558.4080047
0.0001,0.0006,5.00E-05,308.3039041
0.0001,0.0006,0.0001,266.7874043
0.0001,0.0006,0.00015,422.46236
0.0001,0.0006,0.0002,488.5105253
0.0001,0.0006,0.00025,544.68715
0.0001,0.0006,0.0003,585.2427069
0.0001,0.0006,0.00035,622.87987
0.0001,0.0006,0.0004,513.3986175
0.0001,0.0006,0.00045,277.9244036
0.0001,0.0006,0.0005,194.3360275
0.0001,0.0006,0.00055,275.7562207
0.0001,0.0006,0.0006,414.8918443
0.0001,0.0006,0.00065,515.4704787
0.0001,0.0006,0.0007,531.5516776
0.0001,0.0006,0.00075,527.3180046
0.0001,0.0006,0.0008,437.905064
0.0001,0.0006,0.00085,354.5626812
0.0001,0.0006,0.0009,610.024442
0.0001,0.0006,0.00095,625.1010011
0.0001,0.00065,5.00E-05,287.2841229
0.0001,0.00065,0.0001,276.1997534
0.0001,0.00065,0.00015,427.8807841
0.0001,0.00065,0.0002,520.1951455
0.0001,0.00065,0.00025,610.6885144
0.0001,0.00065,0.0003,680.7404881
0.0001,0.00065,0.00035,693.7944813
0.0001,0.00065,0.0004,506.4770921
0.0001,0.00065,0.00045,272.865992
0.0001,0.00065,0.0005,216.1846227
0.0001,0.00065,0.00055,324.0187207
0.0001,0.00065,0.0006,305.1486835
0.0001,0.00065,0.00065,382.0190661
0.0001,0.00065,0.0007,512.0372545
0.0001,0.00065,0.00075,517.5467275
0.0001,0.00065,0.0008,523.1212092
0.0001,0.00065,0.00085,571.4424724
0.0001,0.00065,0.0009,601.7134339
0.0001,0.00065,0.00095,575.0659714
0.0001,0.0007,5.00E-05,286.7318361
0.0001,0.0007,0.0001,243.0875275
0.0001,0.0007,0.00015,387.5784843
0.0001,0.0007,0.0002,542.2489658
0.0001,0.0007,0.00025,692.5081316
0.0001,0.0007,0.0003,723.5630974
0.0001,0.0007,0.00035,722.3128666
0.0001,0.0007,0.0004,532.6126795
0.0001,0.0007,0.00045,375.5231679
0.0001,0.0007,0.0005,370.59753
0.0001,0.0007,0.00055,389.0537569
0.0001,0.0007,0.0006,364.723757
0.0001,0.0007,0.00065,337.0829846
0.0001,0.0007,0.0007,439.808334
0.0001,0.0007,0.00075,500.6117339
0.0001,0.0007,0.0008,505.3726134
0.0001,0.0007,0.00085,507.7433882
0.0001,0.0007,0.0009,554.5289227
0.0001,0.0007,0.00095,544.5073702
0.0001,0.00075,5.00E-05,327.3602785
0.0001,0.00075,0.0001,317.9984151
0.0001,0.00075,0.00015,351.0579209
0.0001,0.00075,0.0002,557.5911243
0.0001,0.00075,0.00025,629.0999296
0.0001,0.00075,0.0003,664.2803886
0.0001,0.00075,0.00035,634.4311258
0.0001,0.00075,0.0004,616.006449
0.0001,0.00075,0.00045,572.6254514
0.0001,0.00075,0.0005,531.4319834
0.0001,0.00075,0.00055,506.6406337
0.0001,0.00075,0.0006,481.4240074
0.0001,0.00075,0.00065,453.6551443
