time,Si_oxide,Cr_oxide,Total_oxide
0.163082,114,18,132
0.164168,115,18,133
0.167108,115,19,134
0.167176,116,19,135
0.168176,116,20,136
0.170776,117,20,137
0.171672,118,20,138
0.172365,119,20,139
0.173374,120,20,140
0.174879,121,20,141
0.176051,122,20,142
0.176671,122,21,143
0.177993,122,22,144
0.179096,123,22,145
0.179282,124,22,146
0.179815,124,23,147
0.18108,125,23,148
0.181821,125,24,149
0.182718,126,24,150
0.183238,126,25,151
0.184278,127,25,152
0.184287,128,25,153
0.185996,129,25,154
0.188113,130,25,155
0.188317,131,25,156
0.191247,132,25,157
0.193464,132,26,158
0.193878,133,26,159
0.194524,134,26,160
0.195198,134,27,161
0.196237,135,27,162
0.196606,136,27,163
0.196875,137,27,164
0.197211,137,28,165
0.197543,138,28,166
0.199786,138,29,167
0.206792,139,29,168
0.20707,140,29,169
0.207167,141,29,170
0.213973,142,29,171
0.214964,142,30,172
0.216914,143,30,173
0.220964,143,31,174
0.221416,144,31,175
0.221538,145,31,176
0.222053,146,31,177
0.226542,147,31,178
0.226996,148,31,179
0.227264,149,31,180
0.227706,150,31,181
0.228063,151,31,182
0.230977,152,31,183
0.231782,153,31,184
0.236148,154,31,185
0.239046,155,31,186
0.239443,156,31,187
0.239661,157,31,188
0.240775,158,31,189
0.240893,159,31,190
0.240897,160,31,191
0.242046,161,31,192
0.244235,162,31,193
0.246256,163,31,194
0.246351,164,31,195
0.251259,165,31,196
0.251374,166,31,197
0.251391,167,31,198
0.255152,168,31,199
0.256413,169,31,200
0.256842,169,32,201
0.257343,170,32,202
0.262362,171,32,203
0.26483,172,32,204
0.267452,173,32,205
0.270318,174,32,206
0.272107,174,33,207
0.274667,175,33,208
0.275356,176,33,209
0.275531,177,33,210
0.275826,178,33,211
0.27857,179,33,212
0.280448,180,33,213
0.281375,181,33,214
0.282076,182,33,215
0.282119,183,33,216
0.283054,184,33,217
0.284767,184,34,218
0.28523,185,34,219
0.287048,186,34,220
0.288039,186,35,221
0.288247,187,35,222
0.289818,188,35,223
0.290476,189,35,224
0.291519,190,35,225
0.292554,191,35,226
0.294117,192,35,227
0.296064,193,35,228
0.2966,194,35,229
0.296641,195,35,230
0.299311,196,35,231
0.3029,197,35,232
0.304826,198,35,233
0.30486,199,35,234
0.305455,199,36,235
0.314523,199,37,236
0.315406,200,37,237
0.315551,200,38,238
0.316676,201,38,239
0.316777,202,38,240
0.317007,203,38,241
0.32082,204,38,242
0.320847,205,38,243
0.321329,206,38,244
0.322184,207,38,245
0.322219,208,38,246
0.323655,209,38,247
0.326566,210,38,248
0.328435,211,38,249
0.333781,212,38,250
0.333925,213,38,251
0.335126,214,38,252
0.33577,214,39,253
0.336213,215,39,254
0.337977,216,39,255
0.342487,217,39,256
0.343091,217,40,257
0.343827,218,40,258
0.346703,219,40,259
0.348417,220,40,260
0.360357,221,40,261
0.360658,221,41,262
0.360851,222,41,263
0.361314,223,41,264
0.361437,224,41,265
0.363527,225,41,266
0.369356,226,41,267
0.369817,227,41,268
0.372678,228,41,269
0.373334,228,42,270
0.373699,229,42,271
0.375648,230,42,272
0.376251,231,42,273
0.378578,232,42,274
0.379618,233,42,275
0.379871,234,42,276
0.38057,235,42,277
0.382683,236,42,278
0.383549,236,43,279
0.384792,237,43,280
0.384795,238,43,281
0.385298,239,43,282
0.3861,240,43,283
0.388433,241,43,284
0.38845,241,44,285
0.392088,242,44,286
0.394648,243,44,287
0.395418,243,45,288
0.398858,244,45,289
0.399638,245,45,290
0.400393,246,45,291
0.40168,247,45,292
0.402478,248,45,293
0.405517,249,45,294
0.406394,250,45,295
0.408787,251,45,296
0.410424,252,45,297
0.415193,253,45,298
0.419003,254,45,299
0.419011,255,45,300
0.42255,256,45,301
0.422799,257,45,302
0.423226,258,45,303
0.426032,259,45,304
0.427094,260,45,305
0.430053,261,45,306
0.431814,262,45,307
0.43305,263,45,308
0.436249,263,46,309
0.437374,264,46,310
0.438743,265,46,311
0.440094,266,46,312
0.441082,267,46,313
0.44159,268,46,314
0.443246,268,47,315
0.443352,269,47,316
0.443938,270,47,317
0.446152,271,47,318
0.449635,272,47,319
0.452055,273,47,320
0.452551,274,47,321
0.454057,275,47,322
0.458046,276,47,323
0.458861,277,47,324
0.459032,278,47,325
0.460576,279,47,326
0.461127,280,47,327
0.461159,281,47,328
0.4685,282,47,329
0.482172,282,48,330
0.483496,283,48,331
0.489285,283,49,332
0.491525,284,49,333
0.495865,285,49,334
0.504234,286,49,335
0.506289,287,49,336
0.508153,288,49,337
0.508655,289,49,338
0.51082,290,49,339
0.516856,291,49,340
0.520615,292,49,341
0.521243,293,49,342
0.521313,293,50,343
0.521433,294,50,344
0.525296,295,50,345
0.525837,296,50,346
0.527635,297,50,347
0.531538,297,51,348
0.534303,298,51,349
0.547639,299,51,350
0.551787,300,51,351
0.553011,301,51,352
0.554163,302,51,353
0.555976,303,51,354
0.561277,304,51,355
0.563737,305,51,356
0.56707,306,51,357
0.571244,307,51,358
0.571819,308,51,359
0.573269,309,51,360
0.577925,310,51,361
0.579682,311,51,362
0.581243,312,51,363
0.58451,313,51,364
0.585261,314,51,365
0.589312,315,51,366
0.589632,315,52,367
0.591409,316,52,368
0.591927,317,52,369
0.591978,318,52,370
0.593012,318,53,371
0.594148,319,53,372
0.598134,320,53,373
0.600632,321,53,374
0.600747,322,53,375
0.601437,323,53,376
0.606934,324,53,377
0.608705,324,54,378
0.612437,325,54,379
0.614831,326,54,380
0.616448,327,54,381
0.624645,327,55,382
0.63161,328,55,383
0.635364,328,56,384
0.636316,329,56,385
0.636489,330,56,386
0.647002,331,56,387
0.64744,332,56,388
0.648108,333,56,389
0.649046,333,57,390
0.650963,334,57,391
0.652859,335,57,392
0.658236,335,58,393
0.662752,336,58,394
0.672985,337,58,395
0.673606,338,58,396
0.677232,339,58,397
0.678089,340,58,398
0.680835,341,58,399
0.683397,342,58,400
0.687894,343,58,401
0.690552,344,58,402
0.691071,345,58,403
0.69195,346,58,404
0.692849,347,58,405
0.695609,348,58,406
0.700789,348,59,407
0.708291,349,59,408
0.71164,350,59,409
0.713782,351,59,410
0.715635,352,59,411
0.719705,353,59,412
0.721635,354,59,413
0.722829,355,59,414
0.723907,356,59,415
0.726423,357,59,416
0.734387,358,59,417
0.739959,359,59,418
0.753266,360,59,419
0.759609,360,60,420
0.762484,361,60,421
0.766768,362,60,422
0.768532,363,60,423
0.769129,364,60,424
0.787245,365,60,425
0.789299,366,60,426
0.806245,367,60,427
0.807075,368,60,428
0.811035,369,60,429
0.814772,370,60,430
0.815442,371,60,431
0.819976,372,60,432
0.822815,373,60,433
0.833597,374,60,434
0.834009,375,60,435
0.842655,376,60,436
0.842869,377,60,437
0.857799,378,60,438
0.864828,379,60,439
0.869273,380,60,440
0.87104,381,60,441
0.873849,382,60,442
0.884799,383,60,443
0.895495,384,60,444
0.899618,385,60,445
0.906089,386,60,446
0.91092,387,60,447
0.919273,388,60,448
0.929822,389,60,449
0.932506,390,60,450
0.941081,390,61,451
0.942118,390,62,452
0.943176,391,62,453
0.945139,392,62,454
0.949321,393,62,455
0.950625,394,62,456
0.953666,395,62,457
0.957368,396,62,458
0.963401,397,62,459
0.964448,398,62,460
0.967337,399,62,461
0.97661,400,62,462
0.979469,401,62,463
0.995705,402,62,464
1.00351,403,62,465
1.02048,404,62,466
1.02353,405,62,467
1.0332,406,62,468
1.0394,407,62,469
1.04038,408,62,470
1.04702,409,62,471
1.0482,410,62,472
1.06887,410,63,473
1.07333,411,63,474
1.07683,412,63,475
1.0866,413,63,476
1.09505,413,64,477
1.09892,414,64,478
1.10258,415,64,479
1.10539,416,64,480
1.10817,417,64,481
1.11102,418,64,482
1.11627,419,64,483
1.12658,420,64,484
1.12679,421,64,485
1.14305,422,64,486
1.14427,422,65,487
1.1542,423,65,488
1.17068,423,66,489
1.19298,423,67,490
1.20164,424,67,491
1.20909,425,67,492
1.23224,426,67,493
1.27441,427,67,494
1.27777,428,67,495
1.29699,429,67,496
1.31814,430,67,497
1.3494,431,67,498
1.35779,432,67,499
1.38054,433,67,500
1.385,434,67,501
1.41762,435,67,502
1.43218,436,67,503
1.75245,437,67,504
2.78005,437,68,505
2.93392,438,68,506
3.30683,439,68,507
3.70842,440,68,508
4.15574,441,68,509
4.55724,442,68,510
5.78993,443,68,511
5.92355,444,68,512
7.03156,445,68,513
7.46181,445,69,514
8.29977,446,69,515
8.51079,447,69,516
8.62621,447,70,517
9.38815,448,70,518
9.91477,449,70,519
9.95816,450,70,520
10.1465,450,71,521
10.9664,451,71,522
11.0099,451,72,523
11.2663,452,72,524
11.4726,453,72,525
11.8387,454,72,526
12.7222,455,72,527
12.9477,455,73,528
13.2695,456,73,529
13.5575,456,74,530
13.8213,456,75,531
13.9979,457,75,532
14.0833,458,75,533
14.1386,459,75,534
15.7214,460,75,535
16.3919,461,75,536
16.5761,462,75,537
16.8668,463,75,538
17.0058,463,76,539
17.3475,464,76,540
